InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
563746,20725,LUNCH BAG RED RETROSPOT,10.0,8/19/2011 10:05,1.65,14745.0,united kingdom
540647,22197,,2.0,1/10/2011 14:57,0.85,17406.0,UK
578521,23137,ZINC WIRE SWEETHEART LETTER TRAY,1.0,11/24/2011 14:06,3.75,17812.0,UK
539421,22919,HERB MARKER MINT,12.0,12/17/2010 14:21,0.65,14016.0,EIRE
579510,23256,,4.0,11/29/2011 16:44,4.15,14554.0,United Kngdom
576045,23358,HOT STUFF HOT WATER BOTTLE,3.0,11/13/2011 14:42,3.75,15022.0,United Kngdom
537428,20685,,2.0,12/6/2010 15:38,7.95,17320.0,United Kngdom
542235,22469,HEART OF WICKER SMALL,120.0,1/26/2011 13:56,1.45,15661.0,united kingdom
579456,21090,SET/6 COLLAGE PAPER PLATES,,11/29/2011 14:20,0.39,13428.0,united kingdom
557147,20724,RED RETROSPOT CHARLOTTE BAG,20.0,6/17/2011 10:51,0.85,12408.0,Belgium
C543661,21232,STRAWBERRY CERAMIC TRINKET BOX,-2.0,2/11/2011 10:41,1.25,12471.0,Germany
544676,20972,PINK CREAM FELT CRAFT TRINKET BOX ,,2/22/2011 16:03,1.25,,united kingdom
543982,22273,FELTCRAFT DOLL MOLLY,6.0,2/15/2011 8:21,2.95,15358.0,Unted Kingdom
566781,22835,HOT WATER BOTTLE I AM SO POORLY,6.0,9/15/2011 10:11,4.95,,UK
551008,22501,PICNIC BASKET WICKER LARGE,1.0,4/26/2011 9:50,20.79,,United Kngdom
575587,23495,,12.0,11/10/2011 12:01,1.25,17461.0,united kingdom
550126,22727,ALARM CLOCK BAKELIKE RED ,4.0,4/14/2011 12:43,3.75,12853.0,united kingdom
579848,22650,CERAMIC PIRATE CHEST MONEY BANK,12.0,11/30/2011 16:23,1.45,18179.0,United Kngdom
576081,22037,ROBOT BIRTHDAY CARD,12.0,11/14/2011 8:16,0.42,15203.0,united kingdom
570465,21068,VINTAGE BILLBOARD LOVE/HATE MUG,1.0,10/10/2011 16:02,2.46,,
561911,21498,RED RETROSPOT WRAP ,25.0,8/1/2011 10:26,0.42,12534.0,Germany
