InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
564165,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,8/23/2011 13:35,1.25,13593.0,United Kingdom
562273,21115,ROSE CARAVAN DOORSTOP,2,8/4/2011 9:55,6.75,12502.0,Spain
558475,22167, OVAL WALL MIRROR DIAMANTE ,2,6/29/2011 15:58,8.29,,United Kingdom
575634,20992,JAZZ HEARTS PURSE NOTEBOOK,144,11/10/2011 13:44,0.39,13266.0,United Kingdom
562789,23306,SET OF 36 DOILIES PANTRY DESIGN,12,8/9/2011 13:50,1.45,14646.0,Netherlands
548568,21258,VICTORIAN SEWING BOX LARGE,4,4/1/2011 10:43,12.75,14543.0,United Kingdom
565407,22537,MAGIC DRAWING SLATE DINOSAUR,3,9/4/2011 11:00,0.42,16983.0,United Kingdom
539450,21877,HOME SWEET HOME MUG,4,12/17/2010 16:53,1.25,15570.0,United Kingdom
555150,22906,12 MESSAGE CARDS WITH ENVELOPES,1,5/31/2011 15:53,3.29,,United Kingdom
567673,21086,SET/6 RED SPOTTY PAPER CUPS,2,9/21/2011 15:43,1.63,,United Kingdom
540848,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,1/12/2011 9:26,3.36,,United Kingdom
577406,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,11/20/2011 10:36,4.25,12702.0,Germany
578265,22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,11/23/2011 13:28,2.1,13018.0,United Kingdom
574950,22381,TOY TIDY PINK POLKADOT,1,11/8/2011 9:29,4.13,,United Kingdom
565204,22969,HOMEMADE JAM SCENTED CANDLES,24,9/1/2011 16:45,1.45,15829.0,United Kingdom
568327,23340,VINTAGE CHRISTMAS CAKE FRILL,12,9/26/2011 14:02,1.65,15492.0,United Kingdom
536556,21922,UNION STRIPE WITH FRINGE  HAMMOCK,2,12/1/2010 14:38,7.95,17643.0,United Kingdom
567809,23100,SILVER BELLS TABLE DECORATION,12,9/22/2011 12:29,1.25,13804.0,United Kingdom
542944,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,32,2/2/2011 11:14,0.65,17560.0,United Kingdom
578921,84991,60 TEATIME FAIRY CAKE CASES,1,11/27/2011 11:57,0.55,13596.0,United Kingdom
562955,22550,HOLIDAY FUN LUDO,1,8/11/2011 10:14,7.46,,United Kingdom
573411,22726,ALARM CLOCK BAKELIKE GREEN,4,10/30/2011 16:10,3.75,13870.0,United Kingdom
552973,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,5/12/2011 13:53,1.25,16186.0,United Kingdom
572932,23202,JUMBO BAG VINTAGE LEAF,10,10/27/2011 10:14,2.08,15791.0,United Kingdom
538995,21668,RED STRIPE CERAMIC DRAWER KNOB,12,12/15/2010 12:05,1.25,13458.0,United Kingdom
560047,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,12,7/14/2011 15:01,0.42,17259.0,United Kingdom
542607,22195,LARGE HEART MEASURING SPOONS,2,1/30/2011 13:48,1.65,13148.0,United Kingdom
C547763,85150,LADIES & GENTLEMEN METAL SIGN,-1,3/25/2011 11:31,2.55,14194.0,United Kingdom
542786,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2/1/2011 10:15,1.45,17314.0,United Kingdom
545937,22357,KINGS CHOICE BISCUIT TIN,4,3/8/2011 12:05,4.25,12758.0,Portugal
566019,23355,HOT WATER BOTTLE KEEP CALM,3,9/8/2011 12:44,4.95,17243.0,United Kingdom
574862,23346,SPACEBOY BEAKER,12,11/7/2011 12:27,1.25,12408.0,Belgium
569204,22111,SCOTTIE DOG HOT WATER BOTTLE,2,10/2/2011 10:43,4.95,16591.0,United Kingdom
579552,21174,POTTERING IN THE SHED METAL SIGN,48,11/30/2011 10:54,1.85,16210.0,United Kingdom
541132,84559a,3D SHEET OF DOG STICKERS,1,1/14/2011 10:17,1.66,,United Kingdom
570187,22718,CARD CAT AND TREE ,1,10/7/2011 15:09,0.83,,United Kingdom
570229,17021,NAMASTE SWAGAT INCENSE,6,10/9/2011 13:30,0.3,15756.0,United Kingdom
576052,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,1,11/13/2011 14:48,0.85,15787.0,United Kingdom
570024,21755,LOVE BUILDING BLOCK WORD,6,10/7/2011 10:29,6.25,17975.0,United Kingdom
576172,82494L,WOODEN FRAME ANTIQUE WHITE ,48,11/14/2011 11:00,2.55,15482.0,United Kingdom
561033,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,7/24/2011 11:40,1.25,14443.0,United Kingdom
552318,22557,PLASTERS IN TIN VINTAGE PAISLEY ,3,5/8/2011 16:13,1.65,17231.0,United Kingdom
539283,22727,ALARM CLOCK BAKELIKE RED ,4,12/16/2010 15:47,3.75,14092.0,United Kingdom
545217,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2/28/2011 16:59,1.25,,United Kingdom
574836,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,11/7/2011 11:32,2.95,17623.0,United Kingdom
567145,20727,LUNCH BAG  BLACK SKULL.,10,9/16/2011 15:09,1.65,12921.0,United Kingdom
550280,20727,LUNCH BAG  BLACK SKULL.,10,4/15/2011 13:31,1.65,13048.0,United Kingdom
